variant,epochs,seed,accuracy,macro_f1
full,15,0,0.8558585555888523,0.8404319740171774
full,15,1,0.8540605334132454,0.8366154791567949
full,15,2,0.8504644890620318,0.8344331384501241
full,15,3,0.8564578963140546,0.8410566691603819
full,15,4,0.8509139946059334,0.8341379814259756
full,30,0,0.8832783937668565,0.8710967997560618
full,30,1,0.8766856457896314,0.8632330116990744
full,30,2,0.8837278993107581,0.8716582506345197
full,30,3,0.8841774048546599,0.8715251074312386
full,30,4,0.8765358106083309,0.8620996720083761
no_topic,15,0,0.8488163020677255,0.8278022323210551
no_topic,15,1,0.8471681150734193,0.8308346409706694
no_topic,15,2,0.8447707521726101,0.8272242647464045
no_topic,15,3,0.8536110278693437,0.837269974764881
no_topic,15,4,0.8504644890620318,0.8355861453726465
no_topic,30,0,0.8700928978124064,0.8559807895043431
no_topic,30,1,0.8762361402457297,0.8634088291456585
no_topic,30,2,0.8724902607132154,0.8591480051051391
no_topic,30,3,0.8697932274498053,0.8564927274259265
no_topic,30,4,0.8738387773449205,0.8597109029129074
no_skip,15,0,0.8555588852262511,0.8385265140825985
no_skip,15,1,0.8578064129457597,0.8405441014296273
no_skip,15,2,0.8548097093197483,0.8378641766767685
no_skip,15,3,0.8572070722205574,0.8411585648523942
no_skip,15,4,0.8569074018579562,0.8414954757900933
no_skip,30,0,0.8730896014384177,0.8598423005511187
no_skip,30,1,0.8709919089002097,0.8571469911272181
no_skip,30,2,0.8697932274498053,0.8564535423099541
no_skip,30,3,0.8783338327839376,0.8650165949751809
no_skip,30,4,0.8790830086904405,0.8663710953687597
no_bn,15,0,0.842373389271801,0.8258846481351804
no_bn,15,1,0.8503146538807312,0.8342687837439673
no_bn,15,2,0.8474677854360204,0.8294852400269749
no_bn,15,3,0.842373389271801,0.8250452303549953
no_bn,15,4,0.8482169613425232,0.8314234149708897
no_bn,30,0,0.8579562481270603,0.8424650252834254
no_bn,30,1,0.860803116571771,0.8464640555984605
no_bn,30,2,0.8626011387473779,0.8480041099947769
no_bn,30,3,0.8591549295774648,0.8442612043366081
no_bn,30,4,0.8630506442912796,0.8489668355492168
