variant,seed,domain,accuracy,macro_f1
full,0,social-media,0.8213947617544967,0.81615457663382
full,0,hotel-review,0.923517616728731,0.7349736200226163
full,1,social-media,0.8195014200063111,0.815441524562384
full,1,hotel-review,0.9246634202234317,0.7387013487867539
full,2,social-media,0.8176080782581255,0.8130712890157682
full,2,hotel-review,0.9292466342022343,0.7526566324137235
full,3,social-media,0.8109813821394761,0.8056982039153427
full,3,hotel-review,0.9275279289601833,0.7481485363787227
full,4,social-media,0.8071946986431051,0.8015385550581877
full,4,hotel-review,0.9281008307075337,0.7337314922435064
no_topic,0,social-media,0.7851057115809403,0.7781521011780962
no_topic,0,hotel-review,0.9258092237181323,0.738848174095545
no_topic,1,social-media,0.7851057115809403,0.7762190914720591
no_topic,1,hotel-review,0.9258092237181323,0.7524155419563773
no_topic,2,social-media,0.7939413064058063,0.7879645993159899
no_topic,2,hotel-review,0.9266685763391578,0.7496894288520636
no_topic,3,social-media,0.8068791416850741,0.8011289529512436
no_topic,3,hotel-review,0.925236321970782,0.743633514823593
no_topic,4,social-media,0.7955190911959609,0.7884007720931461
no_topic,4,hotel-review,0.9212260097393297,0.7496678183938221
no_skip,0,social-media,0.8122436099715998,0.8082428441129815
no_skip,0,hotel-review,0.9232311658550558,0.7336883909648374
no_skip,1,social-media,0.8106658251814453,0.8060266460906839
no_skip,1,hotel-review,0.925236321970782,0.7370466376043852
no_skip,2,social-media,0.8068791416850741,0.8039422873053667
no_skip,2,hotel-review,0.9229447149813806,0.7351558224867446
no_skip,3,social-media,0.8226569895866204,0.8195761903188536
no_skip,3,hotel-review,0.9246634202234317,0.760075447313251
no_skip,4,social-media,0.8062480277690123,0.8031480616325387
no_skip,4,hotel-review,0.9249498710971068,0.7483563089597213
no_bn,0,social-media,0.7582833701483118,0.7490939897445155
no_bn,0,hotel-review,0.9281008307075337,0.7372311170830077
no_bn,1,social-media,0.7709056484695488,0.7632168068087243
no_bn,1,hotel-review,0.926955027212833,0.7219445230019836
no_bn,2,social-media,0.7661722940990849,0.7590916834180518
no_bn,2,hotel-review,0.9283872815812089,0.7284836076559759
no_bn,3,social-media,0.7538655727358788,0.7449999532933664
no_bn,3,hotel-review,0.9281008307075337,0.7382695795267366
no_bn,4,social-media,0.7633322814768065,0.7545584462663646
no_bn,4,hotel-review,0.9315382411916356,0.7430871605394277
