topic,n,accuracy,macro_f1
hotel,3491,0.9263821254654827,0.7553837135092781
Verizon,310,0.8225806451612904,0.8102364200155051
johnson&johnson,307,0.8957654723127035,0.8683803543656158
League Of Legends,304,0.8026315789473685,0.7982768006189501
Nvidia,299,0.7658862876254181,0.7541537420075763
Microsoft,295,0.8745762711864407,0.8685592719339877
Amazon,281,0.8540925266903915,0.7740818673076483
HomeDepot,255,0.8705882352941177,0.8581896551724139
PlayStation5(PS5),240,0.7833333333333333,0.7480689513105193
Apple,239,0.7531380753138075,0.6593960254969371
Google,227,0.8502202643171806,0.8281378787600936
Facebook,209,0.8038277511961722,0.7371701972392669
Xbox(Xseries),203,0.8374384236453202,0.8259797293985077
